Method,Train_Percentage,learning_Rate,Cross_Validation_Fold,Accuracy,Epochs,Bias,Variance,Skewness,Kurtosis,Entropy
Logistic Regression,60.0,0.1,Set - 0,0.9818181818181818,172,17.714379035350127,-17.117790733890946,-11.422285996546904,-14.356286679261583,2.908848163695319
Logistic Regression,60.0,0.1,Set - 1,0.9878787878787879,134,16.08412261012645,-15.839348409415999,-10.1063932032692,-12.619288109876189,2.6658721590668906
Logistic Regression,60.0,0.1,Set - 2,0.9636363636363636,227,19.821473989638633,-17.983216695550716,-12.939145379688119,-15.845265304942357,2.8498050569617206
Logistic Regression,60.0,0.1,Set - 3,0.975609756097561,203,19.006079869685003,-17.450104982008217,-12.780336211036214,-15.215347598724659,2.771033732400147
Logistic Regression,60.0,0.1,Set - 4,0.975609756097561,128,15.941477149106365,-15.458443692778317,-10.398464257164731,-12.61478397866715,2.821361100297687
Logistic Regression,60.0,0.2,Set - 0,0.9939393939393939,84,17.710389343530036,-16.744012051543145,-11.402998299672499,-14.095847617078292,2.956313509110768
Logistic Regression,60.0,0.2,Set - 1,0.9636363636363636,151,21.86237339772996,-20.14808841004098,-14.381366897219033,-17.59701892268976,2.76214414706981
Logistic Regression,60.0,0.2,Set - 2,0.9757575757575757,186,23.574966768037513,-20.24286500735276,-16.547550547847948,-19.76107374166921,3.0517004073289877
Logistic Regression,60.0,0.2,Set - 3,0.9695121951219512,144,22.14296788230366,-18.736572965507385,-15.18811319540069,-17.892770908620506,2.351452568246293
Logistic Regression,60.0,0.2,Set - 4,0.9878048780487805,171,23.438395103789297,-19.60221643274832,-16.27040368434448,-18.898004254516383,2.4289664061734966
Logistic Regression,60.0,0.3,Set - 0,0.9878787878787879,186,26.7312897724476,-21.568283478010613,-19.27403870531687,-22.46377976603862,2.801449756021883
Logistic Regression,60.0,0.3,Set - 1,0.9696969696969697,62,18.75512173687211,-17.15761625423368,-12.172721201231838,-15.229820707802357,2.9795865744331507
Logistic Regression,60.0,0.3,Set - 2,0.9636363636363636,26,12.349563725809826,-13.781723964328599,-7.923965907820232,-9.400241135652461,2.656442566804694
Logistic Regression,60.0,0.3,Set - 3,0.975609756097561,153,25.88280826108734,-21.72808484812041,-17.196689953863093,-20.9071972983428,2.5683439163010515
Logistic Regression,60.0,0.3,Set - 4,0.975609756097561,159,26.065968797968814,-21.709182348786143,-18.384627361809795,-21.404859826039253,2.5737847055164065
Logistic Regression,60.0,0.4,Set - 0,0.9939393939393939,177,29.533317302137917,-23.211246717994772,-21.24768083722077,-24.289599459521835,2.185172189420752
Logistic Regression,60.0,0.4,Set - 1,0.9696969696969697,137,27.542511916548076,-22.54752082365309,-18.81421867339195,-22.010497849330243,2.280985640585284
Logistic Regression,60.0,0.4,Set - 2,0.9757575757575757,121,25.434250261084745,-21.878190827160054,-18.193813189347686,-21.046348371589907,3.0318640081848445
Logistic Regression,60.0,0.4,Set - 3,0.9634146341463414,97,24.83404143538008,-20.073733086011693,-17.277423785142666,-20.27444534887214,2.292831652811047
Logistic Regression,60.0,0.4,Set - 4,0.9573170731707317,100,24.602000817474202,-20.976123245863924,-16.62870189975823,-20.21318872933156,3.3018802419039246
Logistic Regression,60.0,1,Set - 0,0.9939393939393939,111,34.75816236845884,-26.825049431074262,-24.19400712819058,-28.223059526745764,2.509805560102338
Logistic Regression,60.0,1,Set - 1,0.9515151515151515,253,42.983757303115766,-32.234992279106095,-31.07584344341136,-35.50488777444769,2.0406447466653574
Logistic Regression,60.0,1,Set - 2,0.9757575757575757,78,30.305664087274565,-24.506121199551732,-21.936351844663772,-24.982341043401462,2.4579262076081068
Logistic Regression,60.0,1,Set - 3,0.9695121951219512,49,26.944424596455114,-21.408201366753776,-19.066244362150094,-21.81635385689291,2.6309671664364753
Logistic Regression,60.0,1,Set - 4,0.9878048780487805,104,33.66710686791498,-25.125425250623326,-24.395640416878255,-27.577138381607156,2.0690335398399946
Logistic Regression,60.0,2,Set - 0,0.9818181818181818,371,61.82549697488309,-41.96450844956774,-45.47199647596909,-50.00892372843666,0.3529388410842312
Logistic Regression,60.0,2,Set - 1,0.9757575757575757,67,36.824724028425,-28.922149632533984,-26.365018346230745,-30.093976812108565,2.6780262688803433
Logistic Regression,60.0,2,Set - 2,0.9757575757575757,687,72.43489131915439,-49.34655302933845,-53.1703019766586,-58.52744217260201,-1.185423543324768
Logistic Regression,60.0,2,Set - 3,0.9817073170731707,81,39.30328654958279,-29.012083468627495,-29.18990351708269,-32.325820632889176,2.1295240688133483
Logistic Regression,60.0,2,Set - 4,0.975609756097561,615,69.79966931293333,-46.735477429294804,-52.04416900379654,-57.029009215886916,-1.1059632636052383
Logistic Regression,60.0,3,Set - 0,0.9818181818181818,318,68.72353411512931,-47.202429491649,-52.21840486091061,-55.184715071780886,-0.7051073864643818
Logistic Regression,60.0,3,Set - 1,0.9878787878787879,270,64.75917909991307,-44.54308741804112,-48.602444555590324,-52.412341125327956,0.23469572880062858
Logistic Regression,60.0,3,Set - 2,0.9818181818181818,366,69.30991337361549,-48.22245385802729,-49.83673603055602,-56.28787285013396,-0.4912138485026613
Logistic Regression,60.0,3,Set - 3,0.9878048780487805,294,64.18812793441035,-44.10635407030568,-48.12197802074183,-53.24762494848584,0.14947731507470885
Logistic Regression,60.0,3,Set - 4,0.9695121951219512,80,44.36008044675173,-33.67453876666625,-32.24947051402373,-36.762082108555546,2.875402446532342
