Method,Train_Percentage,learning_Rate,Cross_Validation_Fold,Accuracy,Epochs,Bias,Variance,Skewness,Kurtosis,Entropy
Logistic Regression,60.0,0.1,Set - 0,0.9939393939393939,184,23.122641427763256,-19.120984729884977,-15.875815878809414,-18.011493185431995,1.209219534374791
Logistic Regression,60.0,0.1,Set - 1,0.9575757575757575,220,23.823767568176038,-19.788455728159818,-16.918334385924563,-18.79683366974615,1.6564924044438218
Logistic Regression,60.0,0.1,Set - 2,0.9575757575757575,197,23.182048876213308,-19.816312469289613,-15.906938937516424,-18.171490623327784,2.1448714905329247
Logistic Regression,60.0,0.1,Set - 3,0.975609756097561,203,23.993846693571232,-19.19271504226183,-16.7812296898905,-19.17253620422719,1.7183524979001568
Logistic Regression,60.0,0.1,Set - 4,0.9695121951219512,140,21.0363475707447,-16.818420669145524,-14.28314017137703,-16.448180773289398,1.9096413292557801
Logistic Regression,60.0,0.2,Set - 0,0.9696969696969697,262,32.258223497714454,-24.17912201646714,-23.582191524822495,-25.81003719525609,1.4232439735556992
Logistic Regression,60.0,0.2,Set - 1,0.9636363636363636,189,29.086193524476744,-23.20232199586178,-20.81737085915538,-22.94111337518315,1.5477199791435634
Logistic Regression,60.0,0.2,Set - 2,0.9818181818181818,147,26.593094182535026,-21.3158431943992,-18.945265811050117,-20.945026532695696,1.6569836434864467
Logistic Regression,60.0,0.2,Set - 3,0.9817073170731707,59,19.344735600544105,-16.837373857710094,-13.31147368691569,-15.499287568507864,2.0377250926146995
Logistic Regression,60.0,0.2,Set - 4,0.9817073170731707,55,19.001894482289426,-16.77237183074635,-12.764317283084871,-14.808169166988161,1.460234391610182
Logistic Regression,60.0,0.3,Set - 0,1.0,172,31.249455309032317,-24.089727484228966,-22.989467934086317,-25.166073860253434,1.9787436409665125
Logistic Regression,60.0,0.3,Set - 1,0.9878787878787879,97,26.90877354680626,-21.22448682250125,-19.29989902594598,-21.47282994413154,1.4439286054447824
Logistic Regression,60.0,0.3,Set - 2,0.9757575757575757,115,28.47280834717035,-21.276445089103866,-20.132718955550644,-22.805091890945466,1.7449211620016405
Logistic Regression,60.0,0.3,Set - 3,0.9878048780487805,167,31.770398247978612,-23.884761677163244,-23.30714509483238,-25.03102076805119,0.8476923875188356
Logistic Regression,60.0,0.3,Set - 4,0.975609756097561,121,28.692775566843423,-22.880216353956293,-20.08257349128614,-22.856551646402576,1.9458233997392436
Logistic Regression,60.0,0.4,Set - 0,0.9696969696969697,83,28.417428246111296,-21.77896226532062,-20.40637119657214,-22.41024918572888,1.160931482633402
Logistic Regression,60.0,0.4,Set - 1,0.9939393939393939,170,34.23221033248297,-26.37676005759981,-24.81401023840149,-27.694363188779818,1.4557095917391265
Logistic Regression,60.0,0.4,Set - 2,0.9878787878787879,171,34.19737522148218,-25.299731885591726,-24.680795935908996,-27.334109087691157,1.4999708359357975
Logistic Regression,60.0,0.4,Set - 3,0.9878048780487805,54,24.494920526849445,-20.033850888422883,-17.583617262170552,-19.49464195662535,1.8412498296303739
Logistic Regression,60.0,0.4,Set - 4,0.9939024390243902,120,31.36627348440051,-24.05093805900455,-22.850226838259008,-24.99197409458686,1.5668034528155488
Logistic Regression,60.0,1,Set - 0,1.0,402,57.664794082570964,-40.37098028461766,-43.06438624465522,-46.44141206169775,-0.3799900027995253
Logistic Regression,60.0,1,Set - 1,0.9939393939393939,121,41.17903511593759,-29.936071252307205,-30.590466360393005,-33.31716298364669,0.8892378225157326
Logistic Regression,60.0,1,Set - 2,0.9878787878787879,156,44.38629400510391,-31.83324097093262,-33.15975184595758,-35.34829549851364,0.5076448506061153
Logistic Regression,60.0,1,Set - 3,0.9817073170731707,371,55.73388148257152,-40.14314441754636,-41.40473136647218,-45.01252801321082,0.9635112873753052
Logistic Regression,60.0,1,Set - 4,0.975609756097561,74,35.72160617159286,-27.74805031843785,-26.228965267815415,-28.983035417495092,1.6247142463970203
Logistic Regression,60.0,2,Set - 0,0.9818181818181818,76,44.747584459897105,-33.044188935962644,-34.003915625845,-36.30034591830792,1.1169123209668936
Logistic Regression,60.0,2,Set - 1,0.9939393939393939,560,79.05540376530456,-55.40614629460374,-58.87016803847624,-62.60162324534886,-2.122278872005737
Logistic Regression,60.0,2,Set - 2,0.9939393939393939,590,80.84980977919253,-51.96979461669517,-61.276739789235755,-64.60395143376039,-1.8514608283875345
Logistic Regression,60.0,2,Set - 3,0.9817073170731707,20,31.102640800785853,-24.826643579487627,-21.808021228243582,-25.08932899680168,2.1921813579451714
Logistic Regression,60.0,2,Set - 4,0.9512195121951219,34,35.4536594676055,-27.51640605448091,-26.73570933122279,-29.155382115723526,1.7242909023740813
Logistic Regression,60.0,3,Set - 0,0.9878787878787879,55,47.55477086350927,-34.192976899875156,-35.04707323214799,-38.19098229726312,1.5698971902669396
Logistic Regression,60.0,3,Set - 1,0.9757575757575757,980,110.15394525690455,-71.87514212638969,-85.85958171637823,-87.84150902985856,-4.958709141661115
Logistic Regression,60.0,3,Set - 2,0.9939393939393939,165,63.131198930491124,-46.40379383722888,-46.51304858635668,-50.97127948653441,0.10506437819273483
Logistic Regression,60.0,3,Set - 3,0.9634146341463414,693,100.75039259360327,-70.43358540951672,-74.86444898370877,-81.39355192442905,-3.398094218371197
Logistic Regression,60.0,3,Set - 4,0.9878048780487805,296,76.98026141945147,-53.245074769463514,-59.14162778481679,-62.06938308322631,-0.3934927501467203
