Method,Train_Percentage,learning_Rate,Cross_Validation_Fold,Accuracy,Epochs,Bias,Variance,Skewness,Kurtosis,Entropy
Logistic Regression,60.0,0.1,Set - 0,0.9212121212121213,86,16.108972752914113,-16.301730564552965,-10.689725042500603,-12.238854246438132,2.2658791342724562
Logistic Regression,60.0,0.1,Set - 1,0.9818181818181818,126,18.639414043048497,-17.557636682831887,-12.532634043163517,-14.792170321393936,3.25257346181993
Logistic Regression,60.0,0.1,Set - 2,0.9757575757575757,226,23.31621783170662,-21.064374855393783,-16.00459685897791,-18.69785290260341,2.4523155948222115
Logistic Regression,60.0,0.1,Set - 3,0.9817073170731707,303,25.84981561077115,-22.47140839235505,-18.00628616516767,-20.38259196050392,2.0870872179895845
Logistic Regression,60.0,0.1,Set - 4,0.975609756097561,159,20.449730310490335,-19.015638440450136,-13.912803344785244,-16.085534358139927,2.4369383276220993
Logistic Regression,60.0,0.2,Set - 0,0.9878787878787879,140,24.982452948135883,-21.710469544603203,-17.96370753208386,-20.20919270430705,2.30239647746071
Logistic Regression,60.0,0.2,Set - 1,0.9636363636363636,122,23.390916462814175,-21.97914907643549,-16.093539552277484,-18.760149846104163,2.7028326631224613
Logistic Regression,60.0,0.2,Set - 2,0.9696969696969697,222,29.591625447826292,-23.120358114098867,-20.958153944837804,-23.376095391635424,1.8708119363877527
Logistic Regression,60.0,0.2,Set - 3,0.9695121951219512,80,20.701693294942146,-19.16222826678938,-14.32301051820595,-16.084963857184544,2.338301986133211
Logistic Regression,60.0,0.2,Set - 4,0.9939024390243902,186,27.58822982772475,-23.312074551685456,-19.28004472240814,-21.846766569289418,1.9837693087691826
Logistic Regression,60.0,0.3,Set - 0,0.9939393939393939,234,33.53789888318634,-26.544273069950787,-24.971447622543568,-26.740211723844077,1.4007379579851642
Logistic Regression,60.0,0.3,Set - 1,0.9878787878787879,273,35.10015261734674,-27.765017847302435,-25.46661583262412,-27.747307487003756,1.38827516276724
Logistic Regression,60.0,0.3,Set - 2,0.9515151515151515,105,26.537993919094138,-22.19719933242793,-18.948157562018125,-20.732446111712388,1.8760200491550219
Logistic Regression,60.0,0.3,Set - 3,0.9939024390243902,167,30.70474116459551,-24.235135797658373,-21.516690081530566,-24.558167705292476,1.8758636354550902
Logistic Regression,60.0,0.3,Set - 4,0.9817073170731707,201,31.354309877988445,-26.844926847071306,-22.492204114930377,-25.595481141707126,2.429928950855332
Logistic Regression,60.0,0.4,Set - 0,0.9939393939393939,198,35.331133710697195,-27.46862208544236,-26.34825889366213,-28.334576320320075,1.2912155007852388
Logistic Regression,60.0,0.4,Set - 1,0.9878787878787879,126,30.3785812542446,-25.457195224591374,-21.52227866661994,-24.054111872201677,1.7376327900041153
Logistic Regression,60.0,0.4,Set - 2,0.9939393939393939,181,34.15799851044499,-25.5904293547226,-25.3000849618945,-27.510276619372952,1.5862478193443095
Logistic Regression,60.0,0.4,Set - 3,0.9939024390243902,176,33.389744240077924,-26.720870832726074,-24.169361103299032,-25.864577474748387,1.5102515384727837
Logistic Regression,60.0,0.4,Set - 4,0.9878048780487805,256,37.28367876228639,-30.682820112878076,-26.87955239352768,-30.45168001853116,1.899061465464759
Logistic Regression,60.0,1,Set - 0,1.0,170,45.00528838565034,-33.93692745537622,-33.774993229256765,-36.18074347295146,0.34697637669802206
Logistic Regression,60.0,1,Set - 1,0.9818181818181818,104,38.2028340565825,-30.70930959579135,-28.45010244996258,-30.892455722113166,1.3911512324163495
Logistic Regression,60.0,1,Set - 2,0.9818181818181818,40,28.80785759993481,-24.298922032456574,-20.148748097764866,-22.851001734559503,1.860319140643303
Logistic Regression,60.0,1,Set - 3,0.9634146341463414,760,66.77153888729339,-48.236486776430645,-49.7339491766464,-52.721370658069226,-1.6034335943348497
Logistic Regression,60.0,1,Set - 4,0.9939024390243902,215,47.86912918206001,-33.86832854645175,-36.07102861058331,-38.08647029990929,0.6623639053393747
