Method,Train_Percentage,learning_Rate,Cross_Validation_Fold,Accuracy,Epochs,Bias,Variance,Skewness,Kurtosis,Entropy
Logistic Regression,60.0,0.1,Set - 0,0.9696969696969697,185,22.319916185985406,-19.247548728846922,-15.445610919833118,-17.197227842826216,2.1696900892829523
Logistic Regression,60.0,0.1,Set - 1,0.9878787878787879,98,17.813332724570838,-15.313813021787839,-12.264364860604767,-13.152891288439019,1.58568350210418
Logistic Regression,60.0,0.1,Set - 2,0.9757575757575757,72,15.59600866251157,-14.646264140695598,-10.315038888201931,-11.388496621372173,1.8586774684728276
Logistic Regression,60.0,0.1,Set - 3,0.9695121951219512,220,23.182722082648233,-19.886109301212187,-16.64144235446039,-17.98288939106239,2.4687209057086625
Logistic Regression,60.0,0.1,Set - 4,0.975609756097561,55,13.187754034533311,-13.894933909964873,-8.69375250509564,-9.48918225574253,2.2241881577556217
Logistic Regression,60.0,0.2,Set - 0,1.0,159,27.1883149908604,-20.980772677928893,-19.91175370945066,-20.968691294989263,1.1014633256130186
Logistic Regression,60.0,0.2,Set - 1,0.9878787878787879,128,24.848786788904125,-20.843100094268635,-17.75319812276018,-19.280898106911856,2.016748843726019
Logistic Regression,60.0,0.2,Set - 2,0.9757575757575757,118,24.478162107933105,-19.036923646643817,-17.85188223549224,-19.13012146356103,1.903986448197393
Logistic Regression,60.0,0.2,Set - 3,0.9817073170731707,127,25.1234204930442,-19.995727121840602,-18.21581609943253,-19.530165876343577,1.871681255778275
Logistic Regression,60.0,0.2,Set - 4,0.9573170731707317,118,24.13100410463431,-21.00194411824582,-16.778644771684593,-18.517801101433093,2.256486179732319
Logistic Regression,60.0,0.3,Set - 0,0.9818181818181818,194,32.52275037554894,-25.27327492722384,-24.217673752284064,-25.863034940374913,1.829094837485132
Logistic Regression,60.0,0.3,Set - 1,0.9939393939393939,200,32.231334135868494,-25.05616291409236,-24.04229890790971,-26.07220878316717,2.2877734999769763
Logistic Regression,60.0,0.3,Set - 2,0.9818181818181818,189,32.60604399629799,-24.078985720370408,-23.92492075198464,-25.477178205945325,1.3501091176950206
Logistic Regression,60.0,0.3,Set - 3,0.9878048780487805,34,18.413364709121485,-16.15439802316887,-12.529661772018448,-13.403230175524842,1.5598036842170822
Logistic Regression,60.0,0.3,Set - 4,0.9817073170731707,155,30.152775301397373,-23.63065321220866,-22.009686805457758,-23.492748070864923,1.8927708039373654
Logistic Regression,60.0,0.4,Set - 0,1.0,119,30.170423673006525,-23.841800865397783,-22.46784036405994,-23.765980040849136,1.542720300477385
Logistic Regression,60.0,0.4,Set - 1,0.9636363636363636,337,42.31207541074629,-29.875638024596526,-31.15152313715798,-33.70373425492022,0.7971742859352231
Logistic Regression,60.0,0.4,Set - 2,0.9878787878787879,146,32.2835943727774,-25.155909580392585,-24.19298700127427,-25.66826601755778,1.802563862646921
Logistic Regression,60.0,0.4,Set - 3,0.975609756097561,228,37.42575023487841,-27.69584390918416,-28.4214650347457,-29.51133158813249,1.4872452147334734
Logistic Regression,60.0,0.4,Set - 4,0.975609756097561,117,30.625650513816673,-23.73709359121525,-22.369997100177454,-23.863990566548246,1.8655979439241939
Logistic Regression,60.0,1,Set - 0,0.9939393939393939,247,49.59660635317907,-36.58115401458255,-37.939892057924574,-40.48274649595116,1.9716639964551772
Logistic Regression,60.0,1,Set - 1,0.9939393939393939,281,52.14694420790799,-36.35098182061083,-40.218941032470205,-41.334160659846866,0.11668858190596039
Logistic Regression,60.0,1,Set - 2,0.9878787878787879,185,46.60805417744416,-34.48061529291541,-35.348025206901006,-37.10259744702807,1.245475312078704
Logistic Regression,60.0,1,Set - 3,0.9878048780487805,150,43.72303820118428,-31.003565742854654,-32.00283221903063,-34.57403357541548,0.8342871607636727
Logistic Regression,60.0,1,Set - 4,0.9878048780487805,49,30.8776453532401,-25.093068861714954,-22.985619376136427,-24.3921194961008,1.7106696349642376
