Method,Train_Percentage,learning_Rate,Cross_Validation_Fold,Accuracy,Bias,Variance,Skewness,Kurtosis,Entropy
Logistic Regression,60.0,0.1,Set - 0,0.9878787878787879,20.134064893121995,-18.015294141309358,-13.96643291599886,-16.08743340265396,2.11733718164019
Logistic Regression,60.0,0.1,Set - 1,0.9878787878787879,20.03305007256198,-18.44140896983538,-14.03731466409871,-16.82576287703122,3.0713143886366208
Logistic Regression,60.0,0.1,Set - 2,0.9515151515151515,18.084994495265967,-18.485444907877383,-12.29350169378604,-14.700114511220276,3.285456333752887
Logistic Regression,60.0,0.1,Set - 3,0.9573170731707317,19.596264884893447,-20.207554479434123,-13.002742282571692,-16.256442177210918,3.7875169665052653
Logistic Regression,60.0,0.1,Set - 4,0.9817073170731707,15.273642113499594,-15.461643468890585,-9.954127781577608,-12.436671416523144,3.1148703522178396
Logistic Regression,60.0,0.2,Set - 0,0.9515151515151515,16.750648091837334,-17.263627859262396,-11.45270877329617,-13.692131501064296,3.3066062222649104
Logistic Regression,60.0,0.2,Set - 1,0.9818181818181818,19.52724752792227,-18.441779373833366,-13.41371505637661,-15.792388201457616,2.967623897521065
Logistic Regression,60.0,0.2,Set - 2,0.9818181818181818,18.959891190520764,-18.54301241964635,-12.865446289458346,-15.65049651804789,3.2572646215156214
Logistic Regression,60.0,0.2,Set - 3,0.9634146341463414,20.2761461156766,-18.066109979352582,-13.7485372410763,-16.58976869684684,2.7888444914166852
Logistic Regression,60.0,0.2,Set - 4,0.9817073170731707,20.556895090373988,-19.32761128562759,-13.78594891361973,-16.87355195938515,2.8055148470145905
Logistic Regression,60.0,0.3,Set - 0,0.9939393939393939,21.448604412524034,-19.47605514016568,-14.952042785132157,-17.615840920709058,2.805155150931361
Logistic Regression,60.0,0.3,Set - 1,0.9757575757575757,20.089091891053698,-18.698310026845853,-13.906984292466475,-16.5160596788085,2.9896255333316257
Logistic Regression,60.0,0.3,Set - 2,0.9757575757575757,18.748510894497606,-17.756298672027285,-12.672591967082823,-14.854494783477938,2.3632205212635107
Logistic Regression,60.0,0.3,Set - 3,0.9695121951219512,21.33926959184919,-19.71082051914685,-14.12101395842149,-17.42711381286333,3.4036296061963247
Logistic Regression,60.0,0.3,Set - 4,0.9634146341463414,17.246800630135695,-17.695871821902568,-11.760797417523086,-14.572464731409356,3.5831479523133845
Logistic Regression,60.0,0.4,Set - 0,0.9757575757575757,16.370027965784573,-17.324973607842097,-10.901031717493563,-13.491421393071503,3.212561996018075
Logistic Regression,60.0,0.4,Set - 1,0.9818181818181818,15.690018164437436,-16.202194101196117,-10.39377376030174,-12.808467739302296,3.140345624927639
Logistic Regression,60.0,0.4,Set - 2,0.9757575757575757,20.354613284288178,-19.36870089255382,-13.761292536044014,-16.56450982088237,2.6265055353727536
Logistic Regression,60.0,0.4,Set - 3,0.9695121951219512,25.5005489639713,-21.020204054820216,-18.14220864548162,-21.120032231085098,2.7521134466403527
Logistic Regression,60.0,0.4,Set - 4,0.9634146341463414,22.987705235281595,-20.76000025303855,-16.36408439409534,-18.99863006692519,3.1738808513736023
Logistic Regression,60.0,1,Set - 0,0.9575757575757575,23.767682149282752,-20.592969100204392,-16.66803051917479,-19.54773051638425,2.74492592405774
Logistic Regression,60.0,1,Set - 1,0.9939393939393939,25.909642963368633,-22.355515299359844,-18.69751277616752,-21.396974072708176,2.6184060454692584
Logistic Regression,60.0,1,Set - 2,0.9636363636363636,28.659476934655597,-23.682328726049338,-20.28094355471726,-24.507431109901894,3.327371813378347
Logistic Regression,60.0,1,Set - 3,0.9390243902439024,28.839331394449875,-24.643914426833643,-20.980792889507935,-23.59253577236906,2.4769007880296487
Logistic Regression,60.0,1,Set - 4,0.9878048780487805,18.98791954167869,-18.582104374870276,-12.64597130551538,-15.4243263636821,3.1911466813602067
Logistic Regression,60.0,2,Set - 0,0.9818181818181818,38.918754972234616,-28.797830959158908,-28.720276764612564,-32.08470920708611,2.0477167239339518
Logistic Regression,60.0,2,Set - 1,0.9878787878787879,28.42706946829221,-23.884255180271808,-20.446546835327645,-23.515897193649657,2.846226418642397
Logistic Regression,60.0,2,Set - 2,0.9818181818181818,41.69028470649463,-32.95441911831706,-30.86401623757266,-34.65629190663691,1.9807790915259258
Logistic Regression,60.0,2,Set - 3,0.9573170731707317,24.996497944510985,-23.852453557605862,-16.720015949608936,-20.518254568224645,3.5203402397039394
Logistic Regression,60.0,2,Set - 4,0.9512195121951219,29.295756264295996,-24.537341199691703,-21.69782799193056,-25.082092060493853,2.344100351444431
Logistic Regression,60.0,3,Set - 0,1.0,43.11278306717799,-34.66216591981682,-31.688904087068632,-37.02305567473465,2.2871163083081614
